sample_name,Database,Plasmid,Identity,Query / Template length,Contig,Position in contig,Note,Accession number
SRR17179197,enterobacteriales,IncFII,95.42,262 / 261,NODE_68_length_10037_cov_110.900100,1282..1543,,AY458016
SRR17179197,enterobacteriales,IncI(Gamma),100.0,137 / 141,NODE_60_length_18631_cov_128.466961,2005..2141,,AP011954
SRR17179199,enterobacteriales,ColRNAI,90.08,131 / 130,NODE_53_length_8016_cov_697.238821,6634..6764,,DQ298019
SRR17179199,enterobacteriales,IncFIA,99.74,388 / 388,NODE_52_length_8091_cov_76.439980,4262..4649,,AP001918
SRR17179199,enterobacteriales,IncFII,100.0,261 / 261,NODE_29_length_57238_cov_63.749654,53070..53330,,AY458016
SRR17179208,enterobacteriales,Col(pHAD28),91.15,113 / 131,NODE_62_length_9955_cov_358.200040,5029..5141,,KU674895
SRR17179208,enterobacteriales,IncFIB(pB171),99.38,643 / 643,NODE_17_length_101318_cov_109.017434,2641..3283,,AB024946
SRR17179208,enterobacteriales,IncFII(pCoo),97.33,262 / 262,NODE_22_length_80835_cov_63.640568,61896..62156,,CR942285
SRR17179239,enterobacteriales,IncB/O/K/Z,96.69,151 / 151,NODE_23_length_74269_cov_47.711559,60360..60510,,CU928147
SRR17179239,enterobacteriales,IncFIB(H89-PhagePlasmid),99.9,1000 / 1000,NODE_16_length_107608_cov_75.098121,24223..25222,,HG530657
SRR17179239,enterobacteriales,IncFIB(pB171),99.38,643 / 643,NODE_58_length_17307_cov_69.830238,13984..14626,,AB024946
SRR17179239,enterobacteriales,IncFII(pRSB107),100.0,261 / 261,NODE_66_length_7048_cov_57.395209,2638..2898,,AJ851089
SRR17179240,enterobacteriales,IncB/O/K/Z,96.69,151 / 151,NODE_22_length_75295_cov_70.403813,14786..14936,,CU928147
SRR17179240,enterobacteriales,IncFIB(H89-PhagePlasmid),99.9,1000 / 1000,NODE_15_length_107608_cov_94.294603,24223..25222,,HG530657
SRR17179240,enterobacteriales,IncFIB(pB171),99.38,643 / 643,NODE_62_length_17229_cov_82.595616,13906..14548,,AB024946
SRR17179240,enterobacteriales,IncFII(pRSB107),100.0,261 / 261,NODE_75_length_7048_cov_65.817960,2638..2898,,AJ851089
SRR17179248,enterobacteriales,Col(BS512),100.0,233 / 233,NODE_82_length_2165_cov_2487.954023,518..750,,NC010656
SRR17179248,enterobacteriales,Col156,94.81,154 / 154,NODE_73_length_5241_cov_1576.513749,1520..1673,,NC009781
SRR17179248,enterobacteriales,ColpEC648,99.14,700 / 701,NODE_77_length_4152_cov_566.623067,3142..3841,CP008718,
SRR17179248,enterobacteriales,IncFIA,99.23,388 / 388,NODE_58_length_9961_cov_148.675739,6080..6466,,AP001918
SRR17179248,enterobacteriales,IncFIB(AP001918),98.39,682 / 682,NODE_45_length_20077_cov_149.646050,17486..18167,,AP001918
SRR17179248,enterobacteriales,IncFII,100.0,261 / 261,NODE_27_length_58162_cov_120.249927,53127..53387,,AY458016
SRR17179248,enterobacteriales,IncI2,100.0,324 / 324,NODE_26_length_59188_cov_110.659353,50972..51295,,KP347127
SRR17179257,enterobacteriales,IncFIB(AP001918),98.39,682 / 682,NODE_37_length_23470_cov_106.180182,20878..21559,,AP001918
SRR17179257,enterobacteriales,IncFIC(FII),95.79,499 / 499,NODE_35_length_30769_cov_72.821875,8103..8599,,AP001918
SRR17179279,enterobacteriales,IncI2(Delta),100.0,316 / 316,NODE_36_length_57287_cov_67.359133,10472..10787,,AP002527
SRR17179289,enterobacteriales,Col(BS512),100.0,233 / 233,NODE_93_length_2177_cov_433.050952,241..473,,NC010656
SRR17179289,enterobacteriales,Col(MG828),92.37,262 / 262,NODE_102_length_1626_cov_327.079406,891..1152,,NC008486
SRR17179289,enterobacteriales,Col(pHAD28),93.13,131 / 131,NODE_116_length_1155_cov_256.811688,857..987,,KU674895
SRR17179289,enterobacteriales,Col440I,93.81,113 / 114,NODE_85_length_3213_cov_136.887117,27..138,,CP023920
SRR17179289,enterobacteriales,ColRNAI,94.32,88 / 130,NODE_213_length_277_cov_139.355000,187..274,,DQ298019
SRR17179289,enterobacteriales,ColRNAI,94.05,84 / 130,NODE_236_length_234_cov_178.968153,151..234,,DQ298019
SRR17179289,enterobacteriales,ColRNAI,93.02,86 / 130,NODE_328_length_169_cov_80.304348,84..169,,DQ298019
SRR17179295,enterobacteriales,Col156,98.59,142 / 154,NODE_98_length_10524_cov_92.683049,6753..6894,,NC009781
SRR17179295,enterobacteriales,Col156,100.0,154 / 154,NODE_113_length_5223_cov_764.962301,1502..1655,,NC009781
SRR17179295,enterobacteriales,IncFIB(AP001918),96.63,682 / 682,NODE_59_length_30807_cov_68.136510,28330..29011,,AP001918
SRR17179295,enterobacteriales,IncFII(29),99.61,259 / 259,NODE_86_length_16722_cov_94.569360,10457..10715,,CP003035
SRR17179299,enterobacteriales,Col(MG828),91.98,262 / 262,NODE_88_length_1626_cov_3221.228535,758..1019,,NC008486
SRR17179299,enterobacteriales,Col156,98.59,142 / 154,NODE_60_length_10678_cov_118.761438,3708..3849,,NC009781
SRR17179299,enterobacteriales,Col156,94.81,154 / 154,NODE_71_length_5227_cov_1213.743107,4994..5147,,NC009781
SRR17179299,enterobacteriales,ColRNAI,93.98,83 / 130,NODE_72_length_5196_cov_730.774175,5114..5196,,DQ298019
SRR17179299,enterobacteriales,IncFIA,99.74,388 / 388,NODE_54_length_17692_cov_90.774283,4803..5190,,AP001918
SRR17179299,enterobacteriales,IncFIB(AP001918),97.95,682 / 682,NODE_55_length_13893_cov_134.243920,2134..2815,,AP001918
SRR17179299,enterobacteriales,IncFII(pRSB107),100.0,261 / 261,NODE_50_length_23235_cov_107.944425,18508..18768,,AJ851089
SRR17179302,enterobacteriales,IncFIA,99.74,388 / 388,NODE_48_length_8091_cov_86.895558,4262..4649,,AP001918
SRR17179302,enterobacteriales,IncFII,100.0,261 / 261,NODE_30_length_42234_cov_75.939773,3866..4126,,AY458016
SRR17179313,enterobacteriales,Col(MG828),95.0,260 / 262,NODE_101_length_1623_cov_2224.853169,1252..1510,,NC008486
SRR17179313,enterobacteriales,IncB/O/K/Z,100.0,151 / 151,NODE_99_length_1660_cov_86.455464,707..857,,CU928147
SRR17179313,enterobacteriales,IncB/O/K/Z,96.03,151 / 151,NODE_149_length_651_cov_70.432056,387..537,,CU928147
SRR17179313,enterobacteriales,IncFII(pEH01),93.33,720 / 726,NODE_43_length_20782_cov_90.949771,19470..20189,,CP063521.1
SRR17179315,enterobacteriales,Col(MG828),93.68,174 / 262,NODE_139_length_1899_cov_7233.971460,1..174,,NC008486
SRR17179315,enterobacteriales,Col156,94.81,154 / 154,NODE_105_length_7265_cov_1231.203951,5897..6050,,NC009781
SRR17179315,enterobacteriales,Col156,90.79,152 / 154,NODE_110_length_5793_cov_1212.963436,2312..2463,,NC009781
SRR17179315,enterobacteriales,Col156,94.81,154 / 154,NODE_132_length_2918_cov_1164.883492,2179..2332,,NC009781
SRR17179317,enterobacteriales,Col156,98.59,142 / 154,NODE_53_length_10394_cov_102.392459,6830..6971,,NC009781
SRR17179317,enterobacteriales,IncFIA,100.0,388 / 388,NODE_41_length_33784_cov_107.349631,29955..30342,,AP001918
SRR17179317,enterobacteriales,IncFIB(AP001918),97.95,682 / 682,NODE_41_length_33784_cov_107.349631,8550..9231,,AP001918
SRR17179317,enterobacteriales,IncFIB(H89-PhagePlasmid),99.9,1000 / 1000,NODE_19_length_111009_cov_54.725823,449..1448,,HG530657
SRR17179317,enterobacteriales,IncFII(pRSB107),100.0,261 / 261,NODE_57_length_7648_cov_97.212654,6176..6436,,AJ851089
SRR17179317,enterobacteriales,IncI1-I(Alpha),100.0,142 / 142,NODE_40_length_36616_cov_59.269548,15146..15287,,AP005147
SRR17179320,enterobacteriales,Col(BS512),100.0,233 / 233,NODE_68_length_2166_cov_1595.491144,1339..1571,,NC010656
SRR17179320,enterobacteriales,IncFIA,99.74,388 / 388,NODE_43_length_18226_cov_74.422172,14397..14784,,AP001918
SRR17179320,enterobacteriales,IncFIB(AP001918),98.39,682 / 682,NODE_42_length_18625_cov_70.957462,1912..2593,,AP001918
SRR17179320,enterobacteriales,IncFII(pCoo),95.06,263 / 262,NODE_48_length_11284_cov_80.874989,10193..10452,,CR942285
SRR17179320,enterobacteriales,IncFII(pRSB107),100.0,261 / 261,NODE_53_length_9703_cov_75.582381,6041..6301,,AJ851089
SRR17179325,enterobacteriales,IncFIA,99.48,388 / 388,NODE_54_length_19033_cov_137.905518,6078..6464,,AP001918
SRR17179325,enterobacteriales,IncFIB(AP001918),98.39,682 / 682,NODE_60_length_13214_cov_216.467002,11301..11982,,AP001918
SRR17179325,enterobacteriales,IncFII,95.79,261 / 261,NODE_64_length_11336_cov_136.954969,3597..3857,,AY458016
SRR17179325,enterobacteriales,IncFII,95.42,262 / 261,NODE_67_length_10037_cov_144.834337,1282..1543,,AY458016
SRR17179325,enterobacteriales,IncI(Gamma),100.0,137 / 141,NODE_55_length_18632_cov_144.814228,16491..16627,,AP011954
SRR17179335,enterobacteriales,Col156,98.59,142 / 154,NODE_44_length_10524_cov_152.009999,3631..3772,,NC009781
SRR17179335,enterobacteriales,IncFIA,100.0,388 / 388,NODE_29_length_65740_cov_122.770403,4822..5209,,AP001918
SRR17179335,enterobacteriales,IncFIB(AP001918),97.95,682 / 682,NODE_41_length_11364_cov_177.925844,2134..2815,,AP001918
SRR17179335,enterobacteriales,IncFII(pRSB107),100.0,261 / 261,NODE_47_length_7648_cov_155.574032,6176..6436,,AJ851089
SRR17179336,enterobacteriales,Col156,98.59,142 / 154,NODE_44_length_10524_cov_141.824922,6753..6894,,NC009781
SRR17179336,enterobacteriales,IncFIA,100.0,388 / 388,NODE_34_length_33783_cov_153.560612,29954..30341,,AP001918
SRR17179336,enterobacteriales,IncFIB(AP001918),97.95,682 / 682,NODE_34_length_33783_cov_153.560612,8550..9231,,AP001918
SRR17179336,enterobacteriales,IncFII(pRSB107),100.0,261 / 261,NODE_48_length_7648_cov_146.850482,6176..6436,,AJ851089
SRR17179339,enterobacteriales,ColRNAI,90.08,131 / 130,NODE_85_length_8016_cov_6523.868623,6350..6480,,DQ298019
SRR17179339,enterobacteriales,ColpVC,98.45,193 / 193,NODE_326_length_261_cov_0.826087,28..220,,JX133088
SRR17179339,enterobacteriales,IncFIB(pB171),96.42,643 / 643,NODE_71_length_13616_cov_194.480168,1485..2127,,AB024946
SRR17179339,enterobacteriales,IncFII,95.04,262 / 261,NODE_80_length_10344_cov_162.574267,1896..2157,,AY458016
SRR17179341,enterobacteriales,IncFIA,99.74,388 / 388,NODE_50_length_8101_cov_149.360294,4262..4649,,AP001918
SRR17179341,enterobacteriales,IncFII,100.0,261 / 261,NODE_31_length_51799_cov_121.430339,47674..47934,,AY458016
SRR17179345,enterobacteriales,IncFIA,99.74,388 / 388,NODE_54_length_11475_cov_90.865240,7646..8033,,AP001918
SRR17179345,enterobacteriales,IncFIB(AP001918),99.71,682 / 682,NODE_51_length_12355_cov_121.348591,3124..3805,,AP001918
SRR17179345,enterobacteriales,IncFII(pRSB107),100.0,261 / 261,NODE_61_length_8857_cov_72.552392,333..593,,AJ851089
SRR17179346,enterobacteriales,Col(pHAD28),92.37,131 / 131,NODE_70_length_6277_cov_639.906290,4723..4853,,KU674895
SRR17179346,enterobacteriales,IncFIA,99.48,388 / 388,NODE_59_length_19033_cov_121.825491,6078..6464,,AP001918
SRR17179346,enterobacteriales,IncFIB(AP001918),98.39,682 / 682,NODE_66_length_10455_cov_177.877240,8542..9223,,AP001918
SRR17179346,enterobacteriales,IncFII,95.79,261 / 261,NODE_65_length_11336_cov_116.738431,7480..7740,,AY458016
SRR17179346,enterobacteriales,IncFII,95.42,262 / 261,NODE_67_length_10037_cov_125.189458,8495..8756,,AY458016
SRR17179346,enterobacteriales,IncI(Gamma),100.0,137 / 141,NODE_60_length_18640_cov_126.138771,16499..16635,,AP011954
SRR17179348,enterobacteriales,IncFIA,99.48,388 / 388,NODE_41_length_31804_cov_103.807104,15777..16163,,AP001918
SRR17179348,enterobacteriales,IncFIB(AP001918),98.53,682 / 682,NODE_41_length_31804_cov_103.807104,9125..9806,,AP001918
SRR17179348,enterobacteriales,IncFII,95.79,261 / 261,NODE_60_length_11337_cov_93.101243,7481..7741,,AY458016
SRR17179348,enterobacteriales,IncFII,95.42,262 / 261,NODE_64_length_10038_cov_102.645016,1283..1544,,AY458016
SRR17179348,enterobacteriales,p0111,98.64,885 / 885,NODE_24_length_80018_cov_59.736506,11805..12689,,AP010962
SRR17179349,enterobacteriales,Col(BS512),100.0,233 / 233,NODE_62_length_2178_cov_1662.703950,1351..1583,,NC010656
SRR17179349,enterobacteriales,IncFIA,99.48,388 / 388,NODE_33_length_24774_cov_79.818561,6080..6466,,AP001918
SRR17179349,enterobacteriales,IncFIB(AP001918),98.39,682 / 682,NODE_43_length_11070_cov_127.938961,1912..2593,,AP001918
SRR17179349,enterobacteriales,IncFII,95.79,261 / 261,NODE_37_length_16809_cov_75.760459,3597..3857,,AY458016
SRR17179349,enterobacteriales,IncFII,95.42,262 / 261,NODE_49_length_10036_cov_104.661311,8495..8756,,AY458016
SRR17179353,enterobacteriales,IncFIB(AP001918),95.89,681 / 682,NODE_22_length_30593_cov_142.788308,14522..15202,,AP001918
SRR17179353,enterobacteriales,IncFII(pHN7A8),98.08,260 / 260,NODE_18_length_72646_cov_127.394852,29155..29414,,JN232517
SRR17179355,enterobacteriales,IncFIA,99.74,388 / 388,NODE_53_length_11475_cov_90.304703,7646..8033,,AP001918
SRR17179355,enterobacteriales,IncFIB(AP001918),99.71,682 / 682,NODE_51_length_12355_cov_116.161264,8551..9232,,AP001918
SRR17179355,enterobacteriales,IncFII(pRSB107),100.0,261 / 261,NODE_60_length_8857_cov_72.903872,8265..8525,,AJ851089
SRR17179356,enterobacteriales,Col(BS512),100.0,233 / 233,NODE_64_length_2178_cov_1751.666349,680..912,,NC010656
SRR17179356,enterobacteriales,Col(MG828),91.98,262 / 262,NODE_68_length_1626_cov_1886.095546,1254..1515,,NC008486
SRR17179356,enterobacteriales,Col(MG828),93.13,262 / 262,NODE_69_length_1536_cov_1134.760795,711..972,,NC008486
SRR17179356,enterobacteriales,ColpEC648,99.14,700 / 701,NODE_54_length_4150_cov_310.932728,76..775,CP008718,
SRR17179358,enterobacteriales,IncFIB(AP001918),95.89,681 / 682,NODE_22_length_30593_cov_367.830089,14522..15202,,AP001918
SRR17179358,enterobacteriales,IncFII(pHN7A8),98.08,260 / 260,NODE_17_length_72646_cov_332.803842,29155..29414,,JN232517
SRR17179360,enterobacteriales,IncFIB(AP001918),95.89,681 / 682,NODE_13_length_96170_cov_54.781368,80963..81643,,AP001918
SRR17179360,enterobacteriales,IncFII(pHN7A8),98.08,260 / 260,NODE_13_length_96170_cov_54.781368,36082..36341,,JN232517
SRR17179365,enterobacteriales,IncFIA,99.74,388 / 388,NODE_46_length_15524_cov_86.067845,7646..8033,,AP001918
SRR17179365,enterobacteriales,IncFIB(AP001918),99.71,682 / 682,NODE_50_length_12355_cov_126.705734,3124..3805,,AP001918
SRR17179365,enterobacteriales,IncFII(pRSB107),100.0,261 / 261,NODE_57_length_8857_cov_76.293394,333..593,,AJ851089
SRR17179366,enterobacteriales,Col(BS512),100.0,233 / 233,NODE_75_length_2165_cov_1018.747126,823..1055,,NC010656
SRR17179366,enterobacteriales,Col440I,96.36,110 / 114,NODE_62_length_4193_cov_853.814383,3815..3924,,CP023920
SRR17179366,enterobacteriales,IncFIB(AP001918),99.27,682 / 682,NODE_40_length_33622_cov_68.761753,13950..14631,,AP001918
SRR17179366,enterobacteriales,IncFII,98.08,261 / 261,NODE_21_length_97001_cov_68.157268,47118..47377,,AY458016
SRR17179366,enterobacteriales,IncHI2,100.0,327 / 327,NODE_8_length_214583_cov_72.379770,113451..113777,,BX664015
SRR17179366,enterobacteriales,IncHI2A,100.0,630 / 630,NODE_8_length_214583_cov_72.379770,128643..129272,,BX664015
SRR17179366,enterobacteriales,IncQ1,100.0,529 / 796,NODE_74_length_2212_cov_69.345199,71..599,,M28829
SRR17179370,enterobacteriales,Col(BS512),100.0,233 / 233,NODE_82_length_2178_cov_837.482627,680..912,,NC010656
SRR17179370,enterobacteriales,Col(MG828),91.98,262 / 262,NODE_86_length_1626_cov_1232.405423,880..1141,,NC008486
SRR17179370,enterobacteriales,Col(MG828),93.13,262 / 262,NODE_89_length_1536_cov_750.669637,142..403,,NC008486
SRR17179370,enterobacteriales,IncFIA,99.74,388 / 388,NODE_41_length_18226_cov_70.765442,14397..14784,,AP001918
SRR17179370,enterobacteriales,IncFIB(AP001918),98.39,682 / 682,NODE_67_length_4912_cov_79.844674,1233..1914,,AP001918
SRR17179370,enterobacteriales,IncFII(pRSB107),100.0,261 / 261,NODE_72_length_4174_cov_62.228948,3633..3893,,AJ851089
SRR17179370,enterobacteriales,IncI(Gamma),100.0,137 / 141,NODE_52_length_10569_cov_47.697484,8427..8563,,AP011954
SRR17179372,enterobacteriales,Col440I,96.36,110 / 114,NODE_63_length_4192_cov_650.629405,676..785,,CP023920
SRR17179372,enterobacteriales,IncFIA,99.17,363 / 388,NODE_44_length_22701_cov_58.942097,12585..12947,,AP001918
SRR17179372,enterobacteriales,IncFIB(AP001918),97.51,682 / 682,NODE_44_length_22701_cov_58.942097,21316..21997,,AP001918
SRR17179372,enterobacteriales,IncFII,97.7,261 / 261,NODE_29_length_62020_cov_59.394702,37018..37277,,AY458016
SRR17179372,enterobacteriales,IncQ1,100.0,524 / 796,NODE_62_length_4387_cov_72.320565,3864..4387,,M28829
SRR17179376,enterobacteriales,IncFIB(AP001918),98.24,682 / 682,NODE_24_length_75913_cov_156.521652,68821..69502,,AP001918
SRR17179376,enterobacteriales,IncFII,98.08,261 / 261,NODE_24_length_75913_cov_156.521652,7914..8173,,AY458016
SRR17179378,enterobacteriales,Col(pHAD28),92.37,131 / 131,NODE_67_length_6277_cov_824.970323,3262..3392,,KU674895
SRR17179378,enterobacteriales,IncFIA,99.48,388 / 388,NODE_54_length_19039_cov_111.549520,6078..6464,,AP001918
SRR17179378,enterobacteriales,IncFIB(AP001918),98.39,682 / 682,NODE_62_length_10455_cov_164.919638,8542..9223,,AP001918
SRR17179378,enterobacteriales,IncFII,95.79,261 / 261,NODE_60_length_11336_cov_107.821032,7480..7740,,AY458016
SRR17179378,enterobacteriales,IncFII,95.42,262 / 261,NODE_63_length_10037_cov_113.585040,8495..8756,,AY458016
SRR17179378,enterobacteriales,IncI(Gamma),100.0,137 / 141,NODE_55_length_18632_cov_109.905255,16491..16627,,AP011954
SRR17179381,enterobacteriales,Col(pHAD28),92.37,131 / 131,NODE_85_length_6257_cov_878.241424,4786..4916,,KU674895
SRR17179381,enterobacteriales,Col(pHAD28),92.37,131 / 131,NODE_90_length_4224_cov_2078.854111,2456..2586,,KU674895
SRR17179381,enterobacteriales,Col156,98.7,154 / 154,NODE_75_length_10684_cov_118.795230,3850..4003,,NC009781
SRR17179381,enterobacteriales,IncFIA,99.48,388 / 388,NODE_58_length_20133_cov_94.408307,6078..6464,,AP001918
SRR17179381,enterobacteriales,IncFIB(AP001918),98.39,682 / 682,NODE_73_length_11133_cov_149.460203,1911..2592,,AP001918
SRR17179381,enterobacteriales,IncFII,95.79,261 / 261,NODE_65_length_16809_cov_82.907841,12952..13212,,AY458016
SRR17179381,enterobacteriales,IncFII,95.42,262 / 261,NODE_76_length_10037_cov_99.014257,1282..1543,,AY458016
SRR17179384,enterobacteriales,ColRNAI,91.07,112 / 130,NODE_63_length_3341_cov_954.163909,525..636,,DQ298019
SRR17179384,enterobacteriales,IncFIA,99.74,388 / 388,NODE_38_length_33835_cov_96.248237,13475..13862,,AP001918
SRR17179384,enterobacteriales,IncFIB(AP001918),98.39,682 / 682,NODE_53_length_13979_cov_125.671462,4468..5149,,AP001918
SRR17179384,enterobacteriales,IncFII(pAMA1167-NDM-5),98.08,261 / 261,NODE_58_length_5090_cov_112.847995,4776..5036,,CP024805
SRR17179384,enterobacteriales,IncI1-I(Alpha),100.0,142 / 142,NODE_45_length_20489_cov_89.877376,15995..16136,,AP005147
SRR17179384,enterobacteriales,IncI2(Delta),98.42,316 / 316,NODE_37_length_34662_cov_108.288189,29725..30040,,AP002527
SRR17179384,enterobacteriales,IncQ1,100.0,529 / 796,NODE_59_length_4539_cov_74.940834,72..600,,M28829
SRR17179384,enterobacteriales,p0111,98.98,885 / 885,NODE_40_length_30551_cov_83.033996,3762..4646,,AP010962
SRR17179387,enterobacteriales,IncFIB(AP001918),98.39,682 / 682,NODE_23_length_76023_cov_75.466424,20810..21491,,AP001918
SRR17179387,enterobacteriales,IncFII,100.0,261 / 261,NODE_23_length_76023_cov_75.466424,68495..68755,,AY458016
SRR17179387,enterobacteriales,IncI1-I(Alpha),100.0,142 / 142,NODE_25_length_68924_cov_72.477189,66710..66851,,AP005147
SRR17179387,enterobacteriales,IncQ1,99.81,529 / 796,NODE_45_length_4540_cov_55.875420,73..601,,M28829
SRR17179387,enterobacteriales,IncX1,98.66,374 / 374,NODE_35_length_29578_cov_127.630419,4572..4945,,EU370913
SRR17179390,enterobacteriales,Col(BS512),99.57,233 / 233,NODE_103_length_2177_cov_4162.520476,1350..1582,,NC010656
SRR17179390,enterobacteriales,Col(pHAD28),92.37,131 / 131,NODE_84_length_6277_cov_1220.730000,2808..2938,,KU674895
SRR17179390,enterobacteriales,IncFIA,99.48,388 / 388,NODE_69_length_13981_cov_141.306674,7519..7905,,AP001918
SRR17179390,enterobacteriales,IncFIB(AP001918),98.39,682 / 682,NODE_72_length_13214_cov_181.938038,1233..1914,,AP001918
SRR17179390,enterobacteriales,IncFII,95.79,261 / 261,NODE_66_length_16819_cov_118.862263,12962..13222,,AY458016
SRR17179390,enterobacteriales,IncFII,95.42,262 / 261,NODE_76_length_10037_cov_140.382831,8495..8756,,AY458016
SRR17179390,enterobacteriales,IncI1-I(Alpha),100.0,142 / 142,NODE_61_length_20488_cov_174.870707,15994..16135,,AP005147
SRR17179390,enterobacteriales,IncI2(Delta),98.42,316 / 316,NODE_46_length_35942_cov_143.000669,5655..5970,,AP002527
SRR17179390,enterobacteriales,p0111,98.64,885 / 885,NODE_16_length_93987_cov_103.628687,66235..67119,,AP010962
SRR17179392,enterobacteriales,Col(pHAD28),92.37,131 / 131,NODE_87_length_6277_cov_793.179032,2940..3070,,KU674895
SRR17179392,enterobacteriales,IncFIA,99.74,388 / 388,NODE_79_length_9513_cov_138.057758,5684..6071,,AP001918
SRR17179392,enterobacteriales,IncFIB(AP001918),98.39,682 / 682,NODE_85_length_6506_cov_174.768393,4593..5274,,AP001918
SRR17179392,enterobacteriales,IncFII,95.42,262 / 261,NODE_72_length_11481_cov_138.754297,9941..10202,,AY458016
SRR17179392,enterobacteriales,IncFII,95.79,261 / 261,NODE_76_length_10821_cov_118.832278,3597..3857,,AY458016
SRR17179392,enterobacteriales,IncI1-I(Alpha),100.0,142 / 142,NODE_60_length_20488_cov_141.320611,4354..4495,,AP005147
SRR17179393,enterobacteriales,Col(BS512),100.0,233 / 233,NODE_59_length_2165_cov_2883.289272,1443..1675,,NC010656
SRR17179393,enterobacteriales,ColRNAI,90.83,109 / 130,NODE_54_length_3282_cov_1240.354134,571..679,,DQ298019
SRR17179393,enterobacteriales,IncFIA,99.74,388 / 388,NODE_43_length_17305_cov_84.911249,13476..13863,,AP001918
SRR17179393,enterobacteriales,IncFIB(AP001918),98.39,682 / 682,NODE_44_length_13993_cov_93.694093,8846..9527,,AP001918
SRR17179393,enterobacteriales,IncFIB(pNDM-Mar),99.54,439 / 439,NODE_25_length_75268_cov_79.680600,36136..36574,,JN420336
SRR17179393,enterobacteriales,IncFII(pAMA1167-NDM-5),100.0,261 / 261,NODE_46_length_6005_cov_61.670209,55..315,,CP024805
